,,,All Donation Service Areas,ALOB-OP1 Legacy of Hope,AROR-OP1 Southern Legacy of Life,AZOB-OP1 Donor Network of Arizona,CADN-OP1 Donor Network West,CAGS-OP1 Sierra Donor Services,CAOP-OP1 OneLegacy,CASD-IO1 Lifesharing - A Donate Life Organization,CORS-OP1 Donor Alliance,FLFH-IO1 OurLegacy,FLMP-OP1 South Florida Donor Network,FLUF-IO1 LifeQuest Organ Recovery Services,FLWC-OP1 LifeLink of Florida,GALL-OP1 LifeLink of Georgia,HIOP-OP1 Legacy of Life Hawaii,IAOP-OP1 Iowa Donor Network,ILIP-OP1 Gift of Hope Organ & Tissue Donor Network,INOP-OP1 Indiana Donor Network,KYDA-OP1 Network for Hope,LAOP-OP1 Louisiana Organ Procurement Agency,MAOB-OP1 New England Organ Bank,MDPC-OP1 Infinite Legacy,MIOP-OP1 Gift of Life Michigan,MNOP-OP1 LifeSource Upper Midwest Organ Procurement Organization,MOMA-OP1 Mid-America Transplant Services,MSOP-OP1 Mississippi Organ Recovery Agency,MWOB-OP1 Midwest Transplant Network,NCCM-IO1 LifeShare Carolinas,NCNC-OP1 HonorBridge,NEOR-OP1 Live On Nebraska,NJTO-OP1 New Jersey Organ and Tissue Sharing Network OPO,NMOP-OP1 New Mexico Donor Services,NVLV-OP1 Nevada Donor Network,NYAP-OP1 Center for Donation and Transplant,NYFL-IO1 Finger Lakes Donor Recovery Network,NYRT-OP1 LiveOnNY,NYWN-OP1 Upstate New York Transplant Services Inc,OHLB-OP1 Lifebanc,OHLC-OP1 Life Connection of Ohio,OHLP-OP1 Lifeline of Ohio,OKOP-OP1 LifeShare Transplant Donor Services of Oklahoma,ORUO-IO1 Cascade Life Alliance,PADV-OP1 Gift of Life Donor Program,PATF-OP1 Center for Organ Recovery and Education,PRLL-OP1 LifeLink of Puerto Rico,SCOP-OP1 We Are Sharing Hope SC,TNDS-OP1 Tennessee Donor Services,TNMS-OP1 Mid-South Transplant Foundation,TXGC-OP1 LifeGift Organ Donation Center,TXSA-OP1 Texas Organ Sharing Alliance,TXSB-OP1 Southwest Transplant Alliance,UTOP-OP1 DonorConnect,VATB-OP1 LifeNet Health,WALC-OP1 LifeCenter Northwest,"WIDN-OP1 Versiti Blood Health, Inc.",WIUW-IO1 UW Health Organ and Tissue Donation
,Myeloma,,91,0,0,1,8,1,6,2,6,0,2,0,1,2,0,2,4,0,0,2,5,5,3,8,2,1,1,0,1,0,1,1,1,0,0,3,0,0,0,1,0,1,5,2,0,1,1,0,4,4,1,0,0,1,2,1
,Neonatal Cholestatic Liver Disease,,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Neonatal Hepatitis Other Specify,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Nephritis,,297,2,1,7,10,0,17,6,5,3,12,5,3,5,1,1,9,1,3,0,41,8,15,14,12,1,1,4,9,0,4,0,1,0,4,12,0,2,0,6,3,6,8,6,2,3,2,1,12,16,2,2,3,5,3,2
,Nephrolithiasis,,243,3,0,6,12,10,22,2,5,0,0,4,1,3,1,1,14,4,6,2,26,9,6,9,2,0,4,2,5,1,5,0,2,2,4,16,0,1,0,1,3,2,8,7,3,2,4,1,9,1,4,0,3,5,1,1
,Nephronophthisis,,74,1,0,1,8,0,6,2,0,0,1,2,1,2,0,1,1,1,1,3,4,2,1,2,1,0,2,0,2,2,1,0,0,0,0,8,0,0,0,0,1,4,5,0,0,0,0,0,2,1,0,0,3,2,0,0
,Obliterative Bronchiolitis (Non-Retransplant),,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0
,Obstructive Lung Disease,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,Occupational Lung Disease Other Specify,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
,Other Cancers,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Anti-Gbm,,63,0,0,1,4,2,3,1,2,0,1,1,3,0,0,0,1,2,0,0,7,1,2,2,0,0,1,3,8,0,0,0,0,1,1,4,0,0,0,0,0,2,2,1,0,0,0,0,2,0,1,2,2,2,1,2
,Oxalate Nephropathy (Includes Hereditary Oxalosis,,104,1,0,4,9,3,4,0,2,0,1,3,0,1,0,2,4,1,0,0,14,2,5,11,4,1,1,1,1,1,0,1,0,1,1,5,0,3,0,0,0,1,4,1,0,1,1,0,0,0,0,2,1,5,1,2
,Pancreatectomy Prior To Pancreas Tx,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
,Plm: Cholangiocarcinoma (Ch-Ca),,43,0,0,3,2,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9,1,0,0,1,0,1,0
,Plm: Fibrolamellar (Fl-Hc),,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Plm: Hemangioendothelioma, Hemangiosarcoma, Angio",,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Plm: Hepatoblastoma (Hbl),,4,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Plm: Hepatoma (Hcc) And Cirrhosis,,444,1,0,39,8,1,50,9,15,0,7,0,5,18,0,0,14,0,8,6,26,22,6,10,16,4,2,2,16,1,13,0,0,0,1,46,0,4,0,1,1,6,8,1,0,2,3,0,5,31,22,0,3,11,0,1
,Plm: Hepatoma -. Hepatocellular Carcinoma,,432,3,1,4,15,1,6,19,6,10,10,11,1,3,0,1,8,0,0,6,29,8,2,17,12,2,3,6,4,7,2,0,0,0,0,43,0,0,0,0,3,14,35,9,0,0,2,2,101,12,3,2,4,4,0,2
,Antibiotic-Induced Nephritis,,21,0,0,0,1,0,1,3,0,0,2,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,1
,"Plm: Other Specify (I.E., Klatzkin Tumor, Leiomys",,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0
,Polyarteritis,,12,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,Polycystic Kidneys,,"5,585",60,32,149,290,133,411,95,99,66,108,121,124,151,14,49,191,72,88,94,374,174,151,186,88,22,84,113,118,35,130,24,12,23,72,250,14,61,6,61,69,86,201,113,52,104,137,18,213,128,188,69,124,94,51,56
,Polymyositis,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
,Portopulmonary Hypertension,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Pre-Bmtransplantation Total Body Irradiation,,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Primary Biliary Cirrhosis (Pbc),,179,6,1,8,6,0,32,5,2,2,8,0,1,6,0,0,4,0,2,4,6,9,2,2,0,0,3,0,0,6,1,0,0,0,1,7,0,1,0,0,1,0,3,3,1,3,1,0,16,3,12,1,6,4,1,1
,Primary Ciliary Dyskinesia,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Progressive Systemic Sclerosis,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,Prune Belly Syndrome,,40,1,0,0,3,0,6,0,0,0,1,1,1,0,0,0,2,0,0,2,2,2,1,1,2,0,0,1,2,0,2,0,0,1,0,1,0,0,0,0,1,1,3,0,0,0,0,0,1,1,0,1,0,0,0,0
,Ards/Pneumonia,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Psc: Crohn'S Disease,,34,0,0,1,2,1,2,0,1,0,1,3,0,0,0,0,5,1,1,0,0,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,2,1
,Psc: No Bowel Disease,,118,0,0,4,3,0,7,0,3,2,2,1,1,2,0,0,2,0,1,10,4,14,3,4,4,0,1,1,2,1,1,0,0,0,0,9,0,2,0,1,1,3,3,1,0,2,2,1,7,0,5,1,2,3,1,1
,Psc: Other Specify,,38,4,0,0,7,0,3,0,2,0,1,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,2,1,1,0,1,2,1,0
,Psc: Ulcerative Colitis,,135,2,0,6,6,1,9,2,1,1,5,2,0,4,0,0,5,0,4,0,9,14,3,4,1,0,2,0,0,1,0,0,0,0,1,14,0,0,0,1,1,3,5,0,0,5,3,0,5,0,2,2,3,3,0,5
,Pulmonary Fibrosis Other Specify Cause,,91,2,0,2,3,0,2,2,0,1,1,1,0,0,0,0,3,0,3,1,6,10,6,2,1,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,1,0,4,4,0,0,0,0,9,6,6,0,0,4,0,2
,Pulmonary Hypertension/Pulmonary Arterial Hyperte,,34,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,2,3,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,6,2,0,0,0,0,5,2,0,0,0,1,0,1
,
,Arrhythmogenic Right Ventricular Dysplasia/Cardio,,34,2,0,1,0,0,2,2,0,0,1,2,0,0,0,0,3,0,0,0,2,0,1,2,0,0,0,1,3,0,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,0,1,0,1,0,1,1,2,0,0,0
,Pulmonary Vascular Disease,,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Pulmonary Veno-Occlusive Disease,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Radiation Nephritis,,8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
,Rapid Progressive Glomerulonephritis (Rpgn),,126,0,0,1,9,21,9,2,2,0,2,0,2,0,0,1,5,0,3,0,9,0,3,5,0,0,1,2,2,1,3,0,0,1,0,7,0,0,0,8,0,1,13,2,0,0,0,0,1,3,3,1,1,2,2,0
,Renal Artery Thrombosis,,13,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1
,Renal Cell Carcinoma,,216,3,2,5,4,3,5,3,5,5,1,8,6,6,0,2,13,1,6,2,22,11,3,4,5,0,4,0,6,1,2,1,0,0,2,10,0,2,0,1,2,4,6,9,0,3,4,2,12,8,4,4,8,1,1,2
,Restrictive Myopathy: Amyloidosis,,31,0,0,0,1,0,1,1,2,3,0,1,0,1,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,1,0,5,0,1,0,0,1,0,0
,Benign Tumor: Hepatic Adenoma,,11,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0
,Restrictive Myopathy: Idiopathic,,30,0,1,0,1,0,1,0,0,1,2,1,0,0,0,0,0,0,1,1,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,3,0,2,0,0
,Restrictive Myopathy: Other Specify,,19,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,4,1,0,0,0
,Restrictive Myopathy: Sarcoidosis,,50,0,0,0,0,0,1,1,2,1,1,3,0,0,0,0,4,1,1,1,4,2,4,0,0,0,0,0,3,1,0,0,0,0,1,2,0,2,0,0,0,0,0,1,0,1,2,0,4,0,1,3,0,3,1,0
,Restrictive Myopathy: Sec To Radiat/Chem,,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,Retransplant/Graft Failure,,"5,819",71,22,124,357,146,267,24,67,62,70,106,133,167,20,47,199,87,104,136,280,216,176,264,29,40,78,110,78,48,154,4,25,5,72,348,41,139,30,79,34,47,223,134,14,126,94,1,242,61,182,75,191,79,68,84
,Rheumatoid Arthritis,,12,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0
,Rheumatoid Disease,,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1
,Sarcoidosis,,35,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,3,3,2,1,0,0,0,1,0,0,0,0,0,0,4,0,3,0,1,0,0,5,0,0,0,2,0,3,0,0,1,2,0,0,0
,Sarcoidosis,,61,2,0,1,1,0,1,1,0,1,0,3,2,1,0,0,4,0,1,3,4,3,3,4,1,1,1,2,2,0,1,0,0,0,0,4,0,0,1,0,0,0,2,1,0,1,1,1,3,0,1,0,2,0,1,1
,Benign Tumor: Other Specify,,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,Scleroderma,,30,0,0,0,2,0,2,1,0,1,0,1,2,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,2,0,4,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,4,0,0,0
,Scleroderma -. Pulmonary Hypertension,,6,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Scleroderma -. Restrictive,,24,1,0,0,1,0,0,0,0,0,0,1,2,1,0,0,3,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,3,0,1,0,0,1,0,0
,Sec Biliary Cirrhosis: Caroli'S Disease,,12,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
,Sec Biliary Cirrhosis: Choledochol Cyst,,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
,Sec Biliary Cirrhosis: Other Specify,,20,0,0,0,1,0,2,0,0,0,2,0,0,0,1,0,1,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0
,Secondary Hepatic Malignancy Other Specify,,14,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1
,Benign Tumor: Polycystic Liver Disease,,62,1,0,0,3,0,6,1,1,0,3,1,3,1,1,0,1,0,0,1,5,2,0,1,0,0,1,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,1,1,1,1,0,0,12,1,0,0,3,0,0,0
,Secondary Pulmonary Hypertension,,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sgs: Gastroschisis,,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sgs: Intestinal Atresia,,6,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sgs: Intestinal Volvulus Secondary To Adhesions,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sgs: Intestinal Volvulus Secondary To Malrotation,,7,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Sgs: Mass Resect Sec To Inf Bowel-Crohns,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Sgs: Mass Resect Sec To Mes Venous Throm,,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sgs: Mass Resect Sec To Tumor,,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Sgs: Massive Resection Secondary To Mesenteric Ar,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
,Bile Duct Cancer,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sgs: Necrotizing Enterocolitis,,17,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
,Sgs: Other Specify,,28,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,1,3,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
,Sgs: Unspecified,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sickle Cell Anemia,,73,0,0,0,2,0,5,0,0,1,3,1,1,6,0,0,2,0,0,1,4,4,1,1,1,0,1,0,2,0,2,0,0,0,0,12,1,0,0,1,0,0,6,1,0,2,0,1,8,1,0,0,3,0,0,0
,
,Silicosis,,5,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sjogren'S Syndrome,,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
,Surfactant Protein C. Deficiency,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Systemic Lupus Erythematosus,,"2,010",25,7,48,128,25,173,47,21,27,60,32,41,72,12,10,93,19,18,52,84,84,40,27,23,12,10,29,56,7,65,3,17,6,13,158,7,19,2,14,14,9,67,11,6,35,41,6,84,65,96,10,41,15,15,9
,"Bile Duct Cancer: (Cholangioma, Biliary Tract Car",,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
,Thin Basement Membrane Disease,,72,0,0,2,4,6,11,0,0,1,0,0,1,0,0,0,1,0,1,0,8,2,5,6,0,1,1,2,0,0,2,0,0,0,3,1,0,0,0,0,0,2,3,0,0,2,2,0,1,1,1,0,3,1,0,0
,Tpn/Hyperalimentation Ind Liver Disease,,32,0,0,0,3,0,9,0,0,0,3,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
,Trauma Other Specify,,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Urolithiasis,,14,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
,Valvular Heart Disease,,31,0,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,1,0,2,1,0,3,0,0,0,0,1,0,2,0,0,0,0,7,0,1,0,0,1,0,0,2,0,1,0,0,0,2,1,0,0,0,0,0
,Wegener'S Granuloma -. Restrictive,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
,Acute Tubular Necrosis,,380,0,0,5,27,13,39,3,4,7,4,4,1,5,1,1,10,5,5,4,38,8,5,19,2,1,3,5,7,5,2,1,0,0,4,19,0,6,0,4,5,4,38,7,0,6,9,1,5,3,3,4,18,1,5,6
,CYSTIC FIBROSIS,,16,0,0,0,2,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0
,"Biliary Atresia Or Hypoplasia: Other, Specify",,36,1,0,0,4,0,3,3,0,0,1,0,0,1,2,0,2,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,3,0,4,0,1,2,0,0,0,0
,Wegeners Granulomatosis,,201,2,1,3,7,0,15,3,3,0,1,4,2,3,0,4,9,6,7,1,18,8,7,14,4,0,3,4,6,0,3,2,0,3,1,8,0,1,0,2,3,1,11,7,0,1,4,0,2,7,4,1,5,3,1,2
,Wilms' Tumor,,24,0,0,0,3,0,3,1,0,0,2,2,0,1,0,0,0,0,0,0,0,2,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0
,"Other, Specify",,"10,166",86,102,206,"1,255",237,"1,328",166,139,48,181,94,108,132,11,54,365,96,99,44,563,398,172,362,116,19,72,185,241,46,315,34,31,27,99,427,3,98,11,43,82,171,395,175,28,89,149,13,266,157,198,62,283,151,61,61
,Not Reported,,"4,700",161,3,13,325,6,101,30,55,17,29,44,191,191,11,35,169,75,71,26,204,274,105,62,16,15,33,26,70,3,29,11,1,8,43,558,45,46,2,55,19,115,225,57,5,37,196,14,174,109,247,35,119,164,4,43
,Biliary Atresia: Extrahepatic,,105,1,0,1,5,0,21,1,0,7,3,0,0,2,0,0,4,1,3,0,6,3,2,2,2,0,1,0,1,1,0,0,0,0,0,8,0,0,0,3,0,0,11,1,0,0,1,1,2,3,2,0,0,3,3,0
,DILATED MYOPATHY: VIRAL (NOT COVID-19),,16,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
