,,All Donation Service Areas,NA,ALOB-OP1 Legacy of Hope,AROR-OP1 Southern Legacy of Life,AZOB-OP1 Donor Network of Arizona,CADN-OP1 Donor Network West,CAGS-OP1 Sierra Donor Services,CAOP-OP1 OneLegacy,CASD-IO1 Lifesharing - A Donate Life Organization,CORS-OP1 Donor Alliance,FLFH-IO1 OurLegacy,FLMP-OP1 South Florida Donor Network,FLUF-IO1 LifeQuest Organ Recovery Services,FLWC-OP1 LifeLink of Florida,GALL-OP1 LifeLink of Georgia,HIOP-OP1 Legacy of Life Hawaii,IAOP-OP1 Iowa Donor Network,ILIP-OP1 Gift of Hope Organ & Tissue Donor Network,INOP-OP1 Indiana Donor Network,KYDA-OP1 Network for Hope,LAOP-OP1 Louisiana Organ Procurement Agency,MAOB-OP1 New England Organ Bank,MDPC-OP1 Infinite Legacy,MIOP-OP1 Gift of Life Michigan,MNOP-OP1 LifeSource Upper Midwest Organ Procurement Organization,MOMA-OP1 Mid-America Transplant Services,MSOP-OP1 Mississippi Organ Recovery Agency,MWOB-OP1 Midwest Transplant Network,NCCM-IO1 LifeShare Carolinas,NCNC-OP1 HonorBridge,NEOR-OP1 Live On Nebraska,NJTO-OP1 New Jersey Organ and Tissue Sharing Network OPO,NMOP-OP1 New Mexico Donor Services,NVLV-OP1 Nevada Donor Network,NYAP-OP1 Center for Donation and Transplant,NYFL-IO1 Finger Lakes Donor Recovery Network,NYRT-OP1 LiveOnNY,NYWN-OP1 Upstate New York Transplant Services Inc,OHLB-OP1 Lifebanc,OHLC-OP1 Life Connection of Ohio,OHLP-OP1 Lifeline of Ohio,OKOP-OP1 LifeShare Transplant Donor Services of Oklahoma,ORUO-IO1 Cascade Life Alliance,PADV-OP1 Gift of Life Donor Program,PATF-OP1 Center for Organ Recovery and Education,PRLL-OP1 LifeLink of Puerto Rico,SCOP-OP1 We Are Sharing Hope SC,TNDS-OP1 Tennessee Donor Services,TNMS-OP1 Mid-South Transplant Foundation,TXGC-OP1 LifeGift Organ Donation Center,TXSA-OP1 Texas Organ Sharing Alliance,TXSB-OP1 Southwest Transplant Alliance,UTOP-OP1 DonorConnect,VATB-OP1 LifeNet Health,WALC-OP1 LifeCenter Northwest,"WIDN-OP1 Versiti Blood Health, Inc.",WIUW-IO1 UW Health Organ and Tissue Donation
MABI-TX1 Beth Israel Deaconess Medical Center,,244,34,0,0,0,1,0,0,0,0,0,0,2,1,2,0,0,5,0,0,0,92,6,3,1,0,0,0,1,0,0,9,0,0,11,2,35,2,4,0,0,0,0,23,4,0,0,1,0,1,0,0,1,3,0,0,0
MABS-TX1 Baystate Medical Center,,33,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
MABU-TX1 Boston Medical Center,,29,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
MACH-TX1 Boston Children's Hospital,,55,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,1,0,1,1,0,3,0,0,1,2,5,1,1,0,0,0,1,4,1,0,0,1,0,0,0,0,0,2,0,1,1
MALC-TX1 Lahey Clinic Medical Center,,171,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,91,2,4,0,0,0,1,0,0,0,5,0,0,11,1,15,1,2,0,0,0,0,8,2,3,0,0,0,0,0,0,0,3,2,0,0
MAMG-TX1 Massachusetts General Hospital,,589,94,0,0,3,2,3,5,3,6,4,3,5,1,6,0,1,5,0,1,3,221,5,5,0,2,0,14,3,7,1,12,0,3,33,3,40,2,9,1,0,1,4,31,12,2,5,4,2,5,3,4,0,4,4,1,1
MANM-TX1 Tufts Medical Center,,178,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,4,1,1,1,1,0,1,0,0,4,0,1,5,3,17,6,0,0,0,0,0,26,9,0,0,0,0,0,0,0,0,6,2,0,1
MAPB-TX1 Brigham and Women's Hospital,,167,33,0,0,1,0,0,0,3,0,1,1,1,3,2,0,0,2,1,2,2,45,6,2,4,0,1,5,0,1,3,1,0,2,5,2,8,0,4,2,0,2,0,9,3,0,0,2,0,2,0,0,0,3,1,1,1
MAUM-TX1 UMass Memorial Medical Center,,165,11,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,85,1,2,0,0,1,0,0,0,1,9,0,1,3,2,37,0,1,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,2,0,0
MDJH-TX1 Johns Hopkins Hospital,,463,66,1,2,2,1,0,0,0,1,2,1,2,1,13,0,0,6,10,6,5,17,65,15,5,2,0,0,0,7,1,20,2,0,2,3,37,1,5,2,3,3,1,62,37,3,1,5,0,7,5,3,0,27,3,0,0
MDUM-TX1 University of Maryland Medical System,,249,37,0,1,0,0,0,0,0,0,0,0,1,0,10,0,0,0,1,7,0,5,66,9,0,0,0,1,4,16,1,4,0,0,1,3,10,2,4,0,0,0,0,24,12,0,3,6,0,0,2,1,0,18,0,0,0
MEMC-TX1 Maine Medical Center,,34,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIBH-TX1 Corewell Health William Beaumont University Hospital,,133,24,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,6,17,2,0,2,1,33,5,0,0,0,0,0,0,1,0,0,0,0,2,1,6,7,6,0,0,1,8,0,0,3,1,0,0,0,1,0,0,2,0
MICH-TX1 Children's Hospital of Michigan,,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0
MIDV-TX1 Corewell Health Helen DeVos Children's Hospital,,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MIHF-TX1 Henry Ford Hospital,,366,41,3,0,0,1,0,0,0,1,0,0,0,1,7,0,2,16,25,4,1,2,1,142,5,2,2,1,0,4,0,1,1,0,0,4,3,4,22,6,14,0,0,4,20,0,2,3,0,2,0,4,0,1,2,6,6
MISH-TX1 Corewell Health Grand Rapids Hospitals,,104,1,0,1,0,1,0,5,1,9,1,0,3,0,1,0,1,6,7,2,2,4,3,7,3,0,2,3,0,3,0,0,0,0,0,1,1,0,4,1,0,3,3,4,7,0,0,3,1,0,1,2,1,3,0,0,3
MISJ-TX1 Ascension St. John Hospital,,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
MISM-TX1 Mercy Health Saint Mary's,,109,41,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,13,9,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3
MIUM-TX1 University of Michigan Medical Center,,488,63,1,1,1,0,0,1,0,0,2,1,2,0,1,0,3,48,41,10,0,3,5,112,10,4,3,2,9,5,3,2,1,1,0,2,3,6,25,24,16,2,1,8,27,0,5,10,1,1,0,1,0,3,0,10,8
MNAN-TX1 Abbott Northwestern Hospital,,28,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,2,1,0,0,0,0,14,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
MNCM-TX1 Children's Minnesota,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNHC-TX1 Hennepin County Medical Center,,49,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
MNMC-TX1 Mayo Clinic Hospital Minnesota,,604,179,0,0,2,3,3,3,1,7,4,1,4,3,3,0,31,23,9,5,3,4,1,7,159,5,0,15,0,0,18,0,2,2,3,1,3,0,1,2,2,3,4,5,2,0,1,1,0,7,2,7,2,2,4,9,46
"MNUM-TX1 University of Minnesota Medical Center, Fairview",,452,55,1,2,2,2,1,4,1,5,0,1,1,0,1,0,26,17,17,0,2,4,0,8,198,8,0,13,0,1,10,1,1,2,1,1,2,0,0,2,0,1,2,3,1,0,0,3,1,3,0,4,1,2,6,3,32
MOBH-TX1 Barnes-Jewish Hospital,,606,55,4,13,3,0,0,5,0,9,3,0,3,1,11,0,15,37,31,18,8,3,2,3,10,187,2,94,4,0,0,0,1,2,0,0,3,2,0,1,1,9,0,1,1,0,1,16,8,10,2,14,0,1,3,4,5
MOCG-TX1 Cardinal Glennon Children's Hospital,,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MOCH-TX1 St. Louis Children's Hospital at Washington University Medical Center,,54,5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,4,3,4,0,0,2,2,7,0,6,0,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,5,0,1,0,1,0
MOCM-TX1 Children's Mercy Hospital,,22,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,2,0,2,0,1,0,1,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
MOLH-TX1 St Luke's Hospital of Kansas City,,126,8,1,2,0,0,0,1,0,5,0,0,0,0,0,0,1,6,3,1,0,0,0,1,7,7,1,59,0,0,11,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,1,2,0,0,0,1,2
MORH-TX1 Research Medical Center,,77,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,1,0,0,1,1,0,47,1,0,6,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOSL-TX1 SSM Health Saint Louis University Hospital,,119,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,3,0,0,0,0,5,32,2,21,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,3,2,0,0,0,0,0,0,4,2
MOUM-TX1 University of Missouri Hospital and Clinics,,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSUM-TX1 University of Mississippi Medical Center,,185,18,15,10,0,0,0,0,0,0,0,0,12,0,3,0,0,2,2,1,37,0,0,1,0,0,53,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,16,1,3,5,0,0,0,0,0
NCBG-TX1 Wake Forest Baptist Medical Center,,211,29,0,0,0,0,0,0,0,1,2,0,4,0,8,1,0,3,2,16,1,1,1,1,0,0,0,1,30,37,0,1,0,0,2,0,2,1,0,0,1,0,0,1,2,1,23,19,1,0,1,0,0,16,1,1,0
NCCM-TX1 Carolinas Medical Center,,354,20,4,0,0,0,0,1,0,1,6,1,3,13,33,0,0,3,7,14,4,1,3,1,0,6,4,0,92,40,0,4,0,0,0,0,5,2,6,3,2,0,0,10,8,1,23,14,0,0,3,3,0,13,0,0,0
NCDU-TX1 Duke University Hospital,,699,88,8,3,1,3,0,0,0,5,11,7,6,7,17,0,3,5,19,19,9,13,11,11,7,5,2,8,42,116,1,7,2,2,3,3,15,2,6,1,4,1,3,29,26,1,46,30,3,13,5,13,1,47,3,3,3
NCEC-TX1 ECU Health Medical Center,,105,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4,0,0,0,0,2,4,44,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,10,2,0,0,0,0,0,10,0,0,1
NCMH-TX1 University of North Carolina Hospitals,,279,37,1,0,1,0,0,0,0,1,2,0,2,2,10,0,0,2,1,8,0,2,12,1,0,1,1,0,34,78,0,0,0,0,1,0,1,0,0,1,0,0,0,3,5,2,28,11,0,0,2,2,0,23,1,2,1
NDMC-TX1 Sanford Bismarck Medical Center,,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NDSL-TX1 Sanford Medical Center Fargo,,35,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
NECH-TX1 Children’s Nebraska,,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NEUN-TX1 The Nebraska Medical Center,,416,63,0,6,4,3,0,0,1,35,0,0,0,0,2,0,27,16,11,0,0,0,0,1,28,3,0,67,3,1,114,3,1,1,0,0,1,0,0,0,0,7,3,0,1,0,0,0,3,0,0,0,1,0,3,5,2
NHDH-TX1 Mary Hitchcock Memorial Hospital,,26,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NJBI-TX1 Newark Beth Israel Medical Center,,39,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,1,0,2,2,0,1,0,0,1,2,1,0,3,0,0,0,0,0,1,1,3,0,0,0,11,2,0,1,0,0,0,1,0,0,0,0,0,1
NJHK-TX1 Hackensack University Medical Center,,304,58,3,0,11,3,2,2,2,3,0,0,0,2,3,4,2,2,5,3,11,28,9,5,1,1,0,5,1,0,0,29,0,2,7,2,17,0,0,0,0,1,4,38,4,0,1,4,0,7,0,3,0,1,17,0,1
NJLL-TX1 Virtua Our Lady of Lourdes Hospital,,139,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,5,1,0,0,0,0,1,1,0,21,0,0,4,1,30,2,0,1,1,0,0,34,7,0,2,1,0,0,0,0,0,6,0,0,0
NJRW-TX1 Robert Wood Johnson University Hospital,,115,14,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,11,5,5,0,0,0,0,0,2,0,9,0,0,6,2,22,6,2,1,1,0,0,19,1,1,0,0,0,0,0,0,0,4,0,0,0
NJSB-TX1 Saint Barnabas Medical Center,,374,79,1,0,1,3,1,4,2,3,2,2,2,1,2,1,0,3,1,0,3,32,16,1,3,0,1,3,0,3,0,37,0,0,8,4,54,7,1,0,0,0,0,64,11,1,1,4,0,2,0,4,1,4,1,0,0
NJUH-TX1 University Hospital,,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,3,1,0,7,0,0,0,0,3,0,1,0,1,0,0,12,2,0,0,0,0,0,0,0,0,2,0,0,0
"NMAQ-TX1 University Hospital, University of New Mexico Health Sciences Center",,29,4,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NMPH-TX1 Presbyterian Hospital,,36,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
NVRR-TX1 Renown Regional Medical Center,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVUM-TX1 University Medical Center of Southern Nevada,,185,6,2,0,35,8,4,33,7,7,0,1,0,0,2,1,1,0,1,0,0,0,0,3,5,0,0,3,0,0,1,0,4,25,0,0,1,0,0,0,0,0,5,0,1,0,0,1,0,0,1,1,6,2,17,0,1
NYAM-TX1 Albany Medical Center Hospital,,39,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,1,0,2,0,0,10,0,2,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,1,2,0,0
NYCC-TX1 Long Island Jewish Medical Center-Cohen Children's Medical Center,,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,2,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NYCP-TX1 NY Presbyterian Hospital/Columbia Univ. Medical Center,,565,141,3,6,2,4,0,2,2,5,2,5,0,1,11,1,1,11,3,1,10,38,24,17,8,1,2,1,4,8,5,29,0,1,7,6,61,3,6,9,4,1,3,52,12,6,1,4,2,1,1,6,1,11,10,0,9
"NYDS-TX1 State University of New York, Downstate Medical Center",,36,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,3,1,1,0,0,0,0,0,0,6,0,0,1,0,9,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,1,0,0
NYEC-TX1 Erie County Medical Center,,116,9,5,0,1,1,2,4,0,7,1,0,2,0,4,0,1,0,1,5,0,2,2,8,0,1,0,2,0,0,1,1,0,0,2,4,1,7,7,0,0,0,1,5,9,0,0,1,0,2,1,3,2,2,4,1,4
"NYFL-TX1 Strong Memorial Hospital, University of Rochester Medical Center",,237,64,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,2,1,0,7,4,9,2,0,0,0,2,2,0,5,0,1,12,33,10,25,10,1,2,0,1,13,17,0,0,0,0,0,0,0,0,2,0,1,3
NYMA-TX1 Montefiore Medical Center,,327,29,4,2,1,0,0,4,0,9,0,0,3,2,5,0,1,3,2,2,4,44,5,4,3,0,2,4,2,3,2,33,1,0,7,1,44,3,5,4,3,0,2,49,10,2,5,3,0,1,1,4,4,2,1,0,2
NYMS-TX1 Mount Sinai Medical Center,,578,82,0,1,0,1,0,3,0,4,0,2,5,5,0,0,2,4,1,6,1,86,13,8,4,4,1,2,2,11,4,45,1,2,22,6,83,3,4,6,3,2,0,107,9,1,2,9,0,5,4,3,1,6,0,2,0
NYNS-TX1 North Shore University Hospital/Northwell Health,,426,53,1,0,0,3,1,5,0,4,0,1,3,3,6,1,0,3,0,2,2,56,15,4,3,1,0,3,5,2,0,25,0,1,17,3,80,3,4,6,1,0,1,61,13,2,4,5,2,1,1,2,0,10,5,0,2
NYNY-TX1 New York-Presbyterian Hospital/Weill Cornell Medical Center,,355,104,0,0,1,2,0,2,0,2,0,0,1,1,0,0,0,4,0,1,0,40,3,2,6,4,0,3,1,2,0,29,0,0,9,3,61,0,2,2,4,0,0,55,3,0,4,1,0,0,0,0,1,2,0,0,0
NYSB-TX1 University Hospital of State University of New York at Stony Brook,,61,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,1,3,0,0,1,3,22,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0
NYUC-TX1 NYU Langone Health,,586,83,2,2,8,4,0,4,4,14,1,4,2,1,6,1,7,12,5,7,7,52,12,20,5,18,1,7,3,16,4,25,1,1,19,7,89,5,8,5,5,4,0,45,17,2,8,2,0,12,0,3,1,8,1,3,3
NYUM-TX1 State University of New York Upstate Medical University,,67,12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,9,0,0,0,0,0,0,1,0,0,2,1,0,2,10,7,4,1,0,0,0,0,6,6,0,0,1,0,0,1,0,0,0,0,0,0
NYVA-TX1 James J. Peters VA Medical Center,,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,2,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
NYWC-TX1 Westchester Medical Center,,183,15,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,37,5,0,0,0,0,0,2,4,0,19,0,0,10,3,37,5,3,2,1,0,1,21,8,0,0,1,0,0,0,0,0,4,0,0,0
OHCC-TX1 The Cleveland Clinic Foundation,,902,99,10,4,3,1,0,2,0,4,2,4,3,4,12,0,5,23,56,22,6,15,7,56,12,8,0,29,8,11,5,12,6,3,8,2,25,12,143,29,48,5,1,50,46,2,13,30,0,11,2,3,3,12,1,8,16
OHCH-TX1 Nationwide Children's Hospital,,38,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2,5,0,1,1,2,0,2,0,0,1,1,0,0,0,0,0,0,1,0,1,1,3,0,0,1,2,0,0,3,2,0,0,0,0,0,0,0,0
OHCM-TX1 Children's Hospital Medical Center,,71,14,4,0,0,0,1,0,0,3,0,0,0,0,1,0,0,5,6,4,0,0,0,3,0,0,0,2,1,0,0,1,0,0,0,1,0,0,4,1,0,2,0,1,3,0,5,5,0,0,0,1,0,1,0,1,1
OHCO-TX1 University of Toledo Medical Center,,195,6,3,0,4,6,4,4,2,3,1,0,0,0,4,2,2,14,8,6,1,4,0,25,3,0,0,7,2,2,0,0,4,2,2,0,2,1,6,15,5,0,2,3,8,1,3,2,0,2,3,6,0,1,9,4,1
OHOU-TX1 Ohio State University Medical Center,,617,87,6,4,1,1,0,1,0,0,4,1,2,1,8,0,1,25,79,54,3,4,4,36,4,9,1,6,5,4,1,4,0,0,1,0,8,0,31,49,51,2,0,14,53,1,2,18,4,4,1,7,1,5,1,3,5
OHTC-TX1 The Christ Hospital,,78,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,6,9,0,1,1,4,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,4,5,0,0,0,8,0,0,4,0,0,0,0,0,1,0,0,0
OHUC-TX1 University of Cincinnati  Medical Center,,287,28,2,0,8,0,0,0,0,0,1,0,1,1,3,0,1,12,29,65,0,0,2,14,0,1,1,12,3,1,0,1,0,0,0,0,2,0,8,24,13,1,1,11,11,0,0,18,3,0,0,0,0,1,4,1,3
OHUH-TX1 University Hospitals of Cleveland,,284,19,0,1,6,0,0,0,0,0,1,0,0,0,3,0,0,5,21,15,0,3,2,32,5,3,1,0,0,1,1,2,0,0,0,1,5,13,54,5,15,0,0,3,50,1,1,3,0,0,0,1,1,3,5,0,2
OKBC-TX1 Integris Baptist Medical Center,,224,23,1,3,1,0,0,3,1,9,0,0,0,0,1,0,0,3,0,0,1,0,1,0,3,3,0,35,0,0,2,0,2,0,2,0,0,0,0,0,0,77,0,0,1,0,0,0,3,25,5,18,0,0,0,0,1
OKCM-TX1 Children's Hospital of Oklahoma,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OKMD-TX1 OU Medical Center,,77,6,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,1,0,0,1,0,13,0,6,0,0,0,0,0
OKSJ-TX1 St John Medical Center,,49,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0
ORGS-TX1 Legacy Good Samaritan Hospital and Medical Center,,96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,1,0,0,0,0,0,0,2,0,31,0,0
ORSV-TX1 Providence St. Vincent Medical Center,,13,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0
ORUO-TX1 Oregon Health and Science University,,242,28,0,0,1,8,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,85,0,2,0,0,1,1,0,0,0,2,0,105,0,0
ORVA-TX1 VA Portland Health Care System,,65,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,2,0,32,0,1
PAAE-TX1 Albert Einstein Medical Center,,137,4,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,6,8,1,0,0,0,0,2,4,0,9,0,1,5,2,11,1,2,1,1,0,0,55,9,0,2,2,0,0,0,1,0,4,0,0,0
PAAG-TX1 Allegheny General Hospital,,177,22,0,0,0,0,1,2,1,0,0,0,0,1,1,0,0,3,7,1,0,3,4,4,1,0,0,0,1,1,0,2,0,0,2,0,2,1,7,4,5,0,0,6,85,0,0,6,0,1,0,0,1,1,1,0,0
PACH-TX1 UPMC Children's Hospital of Pittsburgh,,69,18,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,5,4,1,0,2,3,0,1,1,0,1,2,0,0,0,0,0,2,3,0,0,0,3,0,0,2,10,0,2,1,0,0,0,0,0,2,0,0,1
PACP-TX1 Children's Hospital of Philadelphia,,50,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,2,0,0,0,1,1,2,0,0,3,0,0,1,3,2,1,0,0,1,0,0,10,1,1,0,0,0,0,0,0,0,3,0,0,0
PAGM-TX1 Geisinger Medical Center,,97,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,6,1,0,0,0,0,0,0,0,3,0,0,3,7,5,0,3,0,0,0,0,26,7,0,1,0,0,0,0,0,0,4,1,0,0
PAHE-TX1 Penn State Milton S Hershey Medical Center,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,1,0,0,0
PAHH-TX1 Pinnacle Health System at Harrisburg Hospital,,84,44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,1,1,3,1,2,0,0,1,1,14,5,0,0,0,0,0,0,0,0,3,1,0,1
