,,All Donation Service Areas,NA,ALOB-OP1 Legacy of Hope,AROR-OP1 Southern Legacy of Life,AZOB-OP1 Donor Network of Arizona,CADN-OP1 Donor Network West,CAGS-OP1 Sierra Donor Services,CAOP-OP1 OneLegacy,CASD-IO1 Lifesharing - A Donate Life Organization,CORS-OP1 Donor Alliance,FLFH-IO1 OurLegacy,FLMP-OP1 South Florida Donor Network,FLUF-IO1 LifeQuest Organ Recovery Services,FLWC-OP1 LifeLink of Florida,GALL-OP1 LifeLink of Georgia,HIOP-OP1 Legacy of Life Hawaii,IAOP-OP1 Iowa Donor Network,ILIP-OP1 Gift of Hope Organ & Tissue Donor Network,INOP-OP1 Indiana Donor Network,KYDA-OP1 Network for Hope,LAOP-OP1 Louisiana Organ Procurement Agency,MAOB-OP1 New England Organ Bank,MDPC-OP1 Infinite Legacy,MIOP-OP1 Gift of Life Michigan,MNOP-OP1 LifeSource Upper Midwest Organ Procurement Organization,MOMA-OP1 Mid-America Transplant Services,MSOP-OP1 Mississippi Organ Recovery Agency,MWOB-OP1 Midwest Transplant Network,NCCM-IO1 LifeShare Carolinas,NCNC-OP1 HonorBridge,NEOR-OP1 Live On Nebraska,NJTO-OP1 New Jersey Organ and Tissue Sharing Network OPO,NMOP-OP1 New Mexico Donor Services,NVLV-OP1 Nevada Donor Network,NYAP-OP1 Center for Donation and Transplant,NYFL-IO1 Finger Lakes Donor Recovery Network,NYRT-OP1 LiveOnNY,NYWN-OP1 Upstate New York Transplant Services Inc,OHLB-OP1 Lifebanc,OHLC-OP1 Life Connection of Ohio,OHLP-OP1 Lifeline of Ohio,OKOP-OP1 LifeShare Transplant Donor Services of Oklahoma,ORUO-IO1 Cascade Life Alliance,PADV-OP1 Gift of Life Donor Program,PATF-OP1 Center for Organ Recovery and Education,PRLL-OP1 LifeLink of Puerto Rico,SCOP-OP1 We Are Sharing Hope SC,TNDS-OP1 Tennessee Donor Services,TNMS-OP1 Mid-South Transplant Foundation,TXGC-OP1 LifeGift Organ Donation Center,TXSA-OP1 Texas Organ Sharing Alliance,TXSB-OP1 Southwest Transplant Alliance,UTOP-OP1 DonorConnect,VATB-OP1 LifeNet Health,WALC-OP1 LifeCenter Northwest,"WIDN-OP1 Versiti Blood Health, Inc.",WIUW-IO1 UW Health Organ and Tissue Donation
MALC-TX1 Lahey Clinic Medical Center,,64,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAMG-TX1 Massachusetts General Hospital,,238,81,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,2,88,0,2,0,0,0,1,1,0,0,3,0,1,14,1,19,0,1,0,0,0,1,10,1,0,0,1,1,0,1,0,0,0,1,0,1
MANM-TX1 Tufts Medical Center,,68,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,1,0,0,0
MAPB-TX1 Brigham and Women's Hospital,,71,32,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,20,0,0,1,0,0,0,0,0,1,0,0,0,5,1,5,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
MAUM-TX1 UMass Memorial Medical Center,,102,11,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,49,0,2,0,0,1,0,0,0,1,6,0,1,0,2,18,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,2,0,0
MDJH-TX1 Johns Hopkins Hospital,,225,46,0,0,1,1,0,0,0,0,1,0,0,0,3,0,0,2,3,1,1,9,28,3,2,1,0,0,0,2,0,8,1,0,1,2,24,0,1,0,1,0,1,33,22,1,0,0,0,3,1,2,0,18,2,0,0
MDUM-TX1 University of Maryland Medical System,,126,34,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,29,0,0,0,0,1,0,6,1,3,0,0,1,2,7,2,1,0,0,0,0,13,8,0,1,1,0,0,0,0,0,10,0,0,0
MEMC-TX1 Maine Medical Center,,34,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIBH-TX1 Corewell Health William Beaumont University Hospital,,88,24,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,4,12,0,0,1,0,19,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,5,0,0,0,4,0,0,0,1,0,0,0,1,0,0,2,0
MICH-TX1 Children's Hospital of Michigan,,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
MIDV-TX1 Corewell Health Helen DeVos Children's Hospital,,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MIHF-TX1 Henry Ford Hospital,,144,33,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,8,14,3,1,0,0,37,0,1,0,0,0,1,0,0,1,0,0,1,0,4,4,3,5,0,0,0,10,0,1,1,0,1,0,2,0,0,2,4,3
MISJ-TX1 Ascension St. John Hospital,,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
MISM-TX1 Mercy Health Saint Mary's,,109,41,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,13,9,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3
MIUM-TX1 University of Michigan Medical Center,,273,58,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,28,26,2,0,1,1,75,1,0,0,0,1,1,2,0,0,1,0,1,1,5,11,17,7,0,1,0,16,0,2,0,1,0,0,0,0,0,0,7,1
MNAN-TX1 Abbott Northwestern Hospital,,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MNHC-TX1 Hennepin County Medical Center,,49,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
MNMC-TX1 Mayo Clinic Hospital Minnesota,,309,162,0,0,1,1,0,1,1,1,3,0,2,0,0,0,15,8,1,0,0,2,0,0,69,1,0,1,0,0,8,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,1,1,1,2,19
"MNUM-TX1 University of Minnesota Medical Center, Fairview",,208,53,0,1,1,1,0,2,0,1,0,0,0,0,0,0,12,0,3,0,2,1,0,1,103,0,0,3,0,0,2,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,15
MOBH-TX1 Barnes-Jewish Hospital,,329,53,1,7,1,0,0,0,0,5,2,0,2,0,2,0,12,24,22,14,0,1,2,1,0,85,0,62,2,0,0,0,1,1,0,0,3,2,0,1,1,1,0,0,0,0,0,3,4,6,2,1,0,0,3,2,0
MOCG-TX1 Cardinal Glennon Children's Hospital,,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MOCH-TX1 St. Louis Children's Hospital at Washington University Medical Center,,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MOCM-TX1 Children's Mercy Hospital,,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOLH-TX1 St Luke's Hospital of Kansas City,,70,8,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,42,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
MORH-TX1 Research Medical Center,,75,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,1,0,0,1,1,0,45,1,0,6,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOSL-TX1 SSM Health Saint Louis University Hospital,,82,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,2,0,0,0,0,2,19,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1
MOUM-TX1 University of Missouri Hospital and Clinics,,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSUM-TX1 University of Mississippi Medical Center,,135,18,12,10,0,0,0,0,0,0,0,0,10,0,0,0,0,1,1,0,24,0,0,1,0,0,37,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,3,0,0,0,0,0
NCBG-TX1 Wake Forest Baptist Medical Center,,173,29,0,0,0,0,0,0,0,1,0,0,1,0,5,1,0,0,0,11,1,0,1,0,0,0,0,0,29,30,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,22,18,0,0,1,0,0,16,1,1,0
NCCM-TX1 Carolinas Medical Center,,141,20,0,0,0,0,0,1,0,1,0,0,2,1,27,0,0,0,1,7,1,0,0,0,0,1,1,0,30,15,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,11,9,0,0,1,2,0,6,0,0,0
NCDU-TX1 Duke University Hospital,,236,84,1,0,0,3,0,0,0,1,4,0,2,0,1,0,1,1,2,3,0,0,3,2,2,1,0,0,13,40,0,0,1,0,0,1,0,0,1,0,0,0,2,4,8,0,20,12,0,5,1,1,0,13,3,0,0
NCEC-TX1 ECU Health Medical Center,,101,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,0,0,0,2,4,41,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,10,2,0,0,0,0,0,10,0,0,1
NCMH-TX1 University of North Carolina Hospitals,,199,32,0,0,1,0,0,0,0,1,0,0,1,0,3,0,0,1,0,4,0,0,11,0,0,1,1,0,25,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,22,8,0,0,0,1,0,16,0,1,0
NDMC-TX1 Sanford Bismarck Medical Center,,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NDSL-TX1 Sanford Medical Center Fargo,,35,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
NEUN-TX1 The Nebraska Medical Center,,184,60,0,0,0,1,0,0,0,3,0,0,0,0,1,0,10,1,3,0,0,0,0,0,9,0,0,39,2,0,54,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NHDH-TX1 Mary Hitchcock Memorial Hospital,,26,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NJBI-TX1 Newark Beth Israel Medical Center,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NJHK-TX1 Hackensack University Medical Center,,296,58,3,0,11,3,2,2,2,3,0,0,0,2,3,4,2,2,5,3,11,25,9,5,1,1,0,5,1,0,0,27,0,2,7,2,15,0,0,0,0,1,4,37,4,0,1,4,0,7,0,3,0,1,17,0,1
NJLL-TX1 Virtua Our Lady of Lourdes Hospital,,101,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0,0,0,0,0,0,0,0,14,0,0,3,1,26,2,0,0,0,0,0,26,7,0,0,1,0,0,0,0,0,4,0,0,0
NJRW-TX1 Robert Wood Johnson University Hospital,,85,14,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,7,3,1,0,0,0,0,0,1,0,9,0,0,5,1,17,3,0,0,1,0,0,16,1,1,0,0,0,0,0,0,0,2,0,0,0
NJSB-TX1 Saint Barnabas Medical Center,,370,79,1,0,1,3,1,4,2,3,2,2,2,1,2,1,0,3,1,0,3,31,15,1,3,0,1,3,0,3,0,36,0,0,8,4,54,7,1,0,0,0,0,63,11,1,1,4,0,2,0,4,1,4,1,0,0
"NMAQ-TX1 University Hospital, University of New Mexico Health Sciences Center",,29,4,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NMPH-TX1 Presbyterian Hospital,,33,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
NVRR-TX1 Renown Regional Medical Center,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVUM-TX1 University Medical Center of Southern Nevada,,179,6,2,0,35,8,4,31,6,7,0,1,0,0,2,1,1,0,1,0,0,0,0,3,5,0,0,3,0,0,1,0,4,22,0,0,1,0,0,0,0,0,5,0,1,0,0,1,0,0,1,1,6,2,17,0,1
NYAM-TX1 Albany Medical Center Hospital,,39,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,1,0,2,0,0,10,0,2,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,1,2,0,0
NYCC-TX1 Long Island Jewish Medical Center-Cohen Children's Medical Center,,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NYCP-TX1 NY Presbyterian Hospital/Columbia Univ. Medical Center,,218,86,0,1,1,3,0,0,0,4,0,0,0,1,2,1,0,4,0,0,0,9,8,10,3,0,1,1,3,1,2,14,0,1,2,1,18,0,0,1,0,0,2,17,3,0,0,2,0,0,0,1,0,3,8,0,4
"NYDS-TX1 State University of New York, Downstate Medical Center",,36,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,3,1,1,0,0,0,0,0,0,6,0,0,1,0,9,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,1,0,0
NYEC-TX1 Erie County Medical Center,,111,9,5,0,1,1,2,4,0,6,1,0,2,0,4,0,1,0,0,5,0,2,2,8,0,1,0,2,0,0,1,1,0,0,2,3,1,6,7,0,0,0,1,5,9,0,0,1,0,2,1,3,1,2,4,1,4
"NYFL-TX1 Strong Memorial Hospital, University of Rochester Medical Center",,128,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,5,1,0,0,0,0,0,0,2,0,0,7,14,5,12,9,0,0,0,1,7,8,0,0,0,0,0,0,0,0,1,0,0,0
NYMA-TX1 Montefiore Medical Center,,220,28,0,1,1,0,0,4,0,9,0,0,1,0,1,0,1,0,1,2,4,32,4,3,2,0,2,3,1,1,1,30,1,0,5,1,29,3,1,2,0,0,2,29,2,1,1,0,0,1,1,3,4,0,1,0,1
NYMS-TX1 Mount Sinai Medical Center,,282,73,0,0,0,1,0,2,0,2,0,0,2,1,0,0,0,2,0,2,0,43,5,2,0,3,0,1,0,1,1,19,1,0,11,4,31,2,1,1,0,1,0,58,2,1,1,2,0,3,2,0,1,0,0,0,0
NYNS-TX1 North Shore University Hospital/Northwell Health,,211,51,1,0,0,3,1,5,0,3,0,1,0,1,1,1,0,1,0,0,1,21,9,1,2,0,0,2,0,1,0,10,0,0,4,3,42,1,1,1,0,0,1,26,4,1,3,2,0,0,0,1,0,0,4,0,1
NYNY-TX1 New York-Presbyterian Hospital/Weill Cornell Medical Center,,243,83,0,0,1,2,0,2,0,2,0,0,0,0,0,0,0,2,0,1,0,30,1,1,5,4,0,2,0,0,0,17,0,0,7,2,37,0,0,0,0,0,0,36,2,0,3,1,0,0,0,0,1,1,0,0,0
NYSB-TX1 University Hospital of State University of New York at Stony Brook,,61,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,1,3,0,0,1,3,22,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0
NYUC-TX1 NYU Langone Health,,312,76,0,0,7,3,0,3,3,12,1,1,1,0,0,1,6,10,5,3,6,28,5,12,4,13,1,4,0,3,3,8,1,0,9,3,29,0,1,3,1,3,0,16,4,0,7,1,0,10,0,1,1,0,1,1,1
NYUM-TX1 State University of New York Upstate Medical University,,65,12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,9,0,0,0,0,0,0,1,0,0,1,1,0,2,10,7,4,1,0,0,0,0,6,5,0,0,1,0,0,1,0,0,0,0,0,0
NYVA-TX1 James J. Peters VA Medical Center,,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,2,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
NYWC-TX1 Westchester Medical Center,,80,15,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,18,2,0,0,0,0,0,0,0,0,6,0,0,2,1,21,2,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,1,0,0,0
OHCC-TX1 The Cleveland Clinic Foundation,,358,74,3,1,1,1,0,2,0,3,0,3,0,0,1,0,0,1,29,14,2,2,1,24,3,1,0,25,2,1,0,1,5,0,5,1,8,7,76,8,24,1,0,1,9,0,5,4,0,3,1,0,0,1,0,1,3
OHCH-TX1 Nationwide Children's Hospital,,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OHCM-TX1 Children's Hospital Medical Center,,32,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
OHCO-TX1 University of Toledo Medical Center,,193,6,3,0,4,6,4,4,2,3,1,0,0,0,3,2,2,14,8,6,1,4,0,25,3,0,0,7,2,2,0,0,4,2,2,0,2,1,6,14,5,0,2,3,8,1,3,2,0,2,3,6,0,1,9,4,1
OHOU-TX1 Ohio State University Medical Center,,325,87,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,9,44,30,0,0,0,19,1,1,0,5,0,0,0,0,0,0,0,0,0,0,18,27,33,0,0,1,27,1,0,9,1,0,0,1,0,3,1,0,0
OHTC-TX1 The Christ Hospital,,61,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,8,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0
OHUC-TX1 University of Cincinnati  Medical Center,,124,23,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,4,10,29,0,0,1,8,0,0,0,1,2,0,0,0,0,0,0,0,1,0,5,10,7,0,1,1,6,0,0,6,1,0,0,0,0,1,4,0,0
OHUH-TX1 University Hospitals of Cleveland,,178,19,0,0,6,0,0,0,0,0,1,0,0,0,1,0,0,2,19,9,0,3,1,22,3,0,0,0,0,0,1,1,0,0,0,1,1,8,34,4,7,0,0,3,23,1,0,2,0,0,0,0,1,0,4,0,1
OKBC-TX1 Integris Baptist Medical Center,,91,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,22,0,0,0,0,0,0,1,0,0,0,0,0,0,27,0,0,0,0,0,0,1,11,0,2,0,0,0,0,1
OKMD-TX1 OU Medical Center,,47,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,10,0,4,0,0,0,0,0
OKSJ-TX1 St John Medical Center,,49,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0
ORGS-TX1 Legacy Good Samaritan Hospital and Medical Center,,96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,1,0,0,0,0,0,0,2,0,31,0,0
ORUO-TX1 Oregon Health and Science University,,132,28,0,0,1,3,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,41,0,2,0,0,1,1,0,0,0,0,0,47,0,0
ORVA-TX1 VA Portland Health Care System,,47,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,25,0,1
PAAE-TX1 Albert Einstein Medical Center,,56,4,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,0,1,4,1,5,1,0,0,0,0,0,24,4,0,0,0,0,0,0,1,0,1,0,0,0
PAAG-TX1 Allegheny General Hospital,,95,21,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,1,0,1,3,2,1,0,0,0,0,0,0,1,0,0,2,0,0,0,4,3,4,0,0,3,38,0,0,2,0,1,0,0,1,1,1,0,0
PACH-TX1 UPMC Children's Hospital of Pittsburgh,,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PACP-TX1 Children's Hospital of Philadelphia,,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0
PAGM-TX1 Geisinger Medical Center,,69,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,3,0,0,0,0,0,0,0,0,2,0,0,1,1,2,0,3,0,0,0,0,21,6,0,0,0,0,0,0,0,0,2,1,0,0
PAHH-TX1 Pinnacle Health System at Harrisburg Hospital,,84,44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,1,1,3,1,2,0,0,1,1,14,5,0,0,0,0,0,0,0,0,3,1,0,1
PALV-TX1 Lehigh Valley Hospital,,140,34,2,0,0,0,0,1,0,0,2,1,1,0,1,0,0,0,1,0,0,8,7,0,2,0,0,1,0,0,0,1,0,0,3,2,18,3,3,1,1,1,0,30,6,0,0,1,0,0,0,1,0,6,0,0,2
PAPH-TX1 UPMC Hamot,,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
PAPT-TX1 University of Pittsburgh Medical Center,,172,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,5,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,3,7,1,0,5,43,0,0,1,0,0,0,0,0,2,0,0,1
PASC-TX1 St. Christopher's Hospital for Children,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PATJ-TX1 Thomas Jefferson University Hospital,,100,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,9,2,0,1,0,2,1,0,0,0,5,0,0,2,1,6,4,0,0,0,0,0,32,4,0,2,0,0,0,0,1,0,3,0,1,1
PATU-TX1 Temple University Hospital,,59,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,2,0,0,1,0,4,2,0,0,0,0,0,18,2,0,0,0,0,1,0,1,0,1,0,0,0
PAUP-TX1 Hospital of the University of Pennsylvania,,310,85,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,21,13,0,0,0,0,0,1,0,0,20,0,0,10,2,24,6,0,1,1,0,0,97,9,0,2,0,0,1,0,0,0,4,3,1,0
PAVA-TX1 VA Pittsburgh Healthcare System,,44,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,1,2,0,0,1,17,0,0,0,0,0,0,0,0,1,0,0,0
PRSJ-TX1 Auxilio Mutuo Hospital,,48,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,1,0,0,0,0,0,1,0,0,0
RIRH-TX1 Rhode Island Hospital,,49,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,1,0,0,0,0,0,2,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
SCCH-TX1 MUSC Children's Hospital,,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
