,,All Donation Service Areas,NA,ALOB-OP1 Legacy of Hope,AROR-OP1 Southern Legacy of Life,AZOB-OP1 Donor Network of Arizona,CADN-OP1 Donor Network West,CAGS-OP1 Sierra Donor Services,CAOP-OP1 OneLegacy,CASD-IO1 Lifesharing - A Donate Life Organization,CORS-OP1 Donor Alliance,FLFH-IO1 OurLegacy,FLMP-OP1 South Florida Donor Network,FLUF-IO1 LifeQuest Organ Recovery Services,FLWC-OP1 LifeLink of Florida,GALL-OP1 LifeLink of Georgia,HIOP-OP1 Legacy of Life Hawaii,IAOP-OP1 Iowa Donor Network,ILIP-OP1 Gift of Hope Organ & Tissue Donor Network,INOP-OP1 Indiana Donor Network,KYDA-OP1 Network for Hope,LAOP-OP1 Louisiana Organ Procurement Agency,MAOB-OP1 New England Organ Bank,MDPC-OP1 Infinite Legacy,MIOP-OP1 Gift of Life Michigan,MNOP-OP1 LifeSource Upper Midwest Organ Procurement Organization,MOMA-OP1 Mid-America Transplant Services,MSOP-OP1 Mississippi Organ Recovery Agency,MWOB-OP1 Midwest Transplant Network,NCCM-IO1 LifeShare Carolinas,NCNC-OP1 HonorBridge,NEOR-OP1 Live On Nebraska,NJTO-OP1 New Jersey Organ and Tissue Sharing Network OPO,NMOP-OP1 New Mexico Donor Services,NVLV-OP1 Nevada Donor Network,NYAP-OP1 Center for Donation and Transplant,NYFL-IO1 Finger Lakes Donor Recovery Network,NYRT-OP1 LiveOnNY,NYWN-OP1 Upstate New York Transplant Services Inc,OHLB-OP1 Lifebanc,OHLC-OP1 Life Connection of Ohio,OHLP-OP1 Lifeline of Ohio,OKOP-OP1 LifeShare Transplant Donor Services of Oklahoma,ORUO-IO1 Cascade Life Alliance,PADV-OP1 Gift of Life Donor Program,PATF-OP1 Center for Organ Recovery and Education,PRLL-OP1 LifeLink of Puerto Rico,SCOP-OP1 We Are Sharing Hope SC,TNDS-OP1 Tennessee Donor Services,TNMS-OP1 Mid-South Transplant Foundation,TXGC-OP1 LifeGift Organ Donation Center,TXSA-OP1 Texas Organ Sharing Alliance,TXSB-OP1 Southwest Transplant Alliance,UTOP-OP1 DonorConnect,VATB-OP1 LifeNet Health,WALC-OP1 LifeCenter Northwest,"WIDN-OP1 Versiti Blood Health, Inc.",WIUW-IO1 UW Health Organ and Tissue Donation
NYMA-TX1 Montefiore Medical Center,,46,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,1,0,0,0,0,0,0,1,0,2,0,0,1,0,11,0,0,0,2,0,0,12,2,0,3,1,0,0,0,0,0,2,0,0,0
NYMS-TX1 Mount Sinai Medical Center,,173,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,24,5,2,0,0,0,0,1,5,1,17,0,0,8,2,43,0,1,3,0,0,0,38,4,0,0,4,0,0,1,0,0,4,0,0,0
NYNS-TX1 North Shore University Hospital/Northwell Health,,151,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32,5,1,0,0,0,0,2,0,0,14,0,1,10,0,34,2,2,2,0,0,0,29,6,1,0,1,1,0,0,0,0,4,1,0,0
NYNY-TX1 New York-Presbyterian Hospital/Weill Cornell Medical Center,,88,21,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,1,1,0,0,0,0,1,2,0,11,0,0,1,0,22,0,1,1,1,0,0,14,0,0,1,0,0,0,0,0,0,1,0,0,0
NYUC-TX1 NYU Langone Health,,123,7,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,15,3,3,0,1,0,0,1,4,1,8,0,0,5,3,30,1,4,2,1,0,0,16,4,1,0,0,0,0,0,0,0,5,0,1,0
NYWC-TX1 Westchester Medical Center,,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,2,4,0,11,0,0,7,1,14,2,3,2,1,0,0,12,7,0,0,1,0,0,0,0,0,3,0,0,0
OHCC-TX1 The Cleveland Clinic Foundation,,290,24,2,1,0,0,0,0,0,0,1,0,0,1,4,0,1,7,11,3,0,5,2,27,1,2,0,1,3,3,1,5,0,0,0,1,11,5,44,15,21,0,0,38,25,0,5,9,0,2,0,0,0,5,0,1,3
OHCH-TX1 Nationwide Children's Hospital,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
OHCM-TX1 Children's Hospital Medical Center,,21,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1,0,1,0,0,3,1,0,0,0,1,0,1,0,1,1
OHOU-TX1 Ohio State University Medical Center,,172,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,28,19,0,0,1,12,1,5,0,0,3,2,0,2,0,0,1,0,6,0,7,14,13,0,0,7,21,0,0,5,1,0,1,0,0,2,0,2,2
OHUC-TX1 University of Cincinnati  Medical Center,,145,5,2,0,8,0,0,0,0,0,0,0,0,0,2,0,1,6,19,29,0,0,1,6,0,0,1,11,1,1,0,1,0,0,0,0,0,0,3,11,6,1,0,10,4,0,0,10,2,0,0,0,0,0,0,1,3
OHUH-TX1 University Hospitals of Cleveland,,74,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,3,0,0,0,6,2,0,0,0,0,1,0,1,0,0,0,0,3,5,17,0,4,0,0,0,27,0,0,0,0,0,0,0,0,1,0,0,0
OKBC-TX1 Integris Baptist Medical Center,,89,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,1,0,2,0,0,0,0,0,0,0,0,44,0,0,1,0,0,0,2,8,1,10,0,0,0,0,0
OKMD-TX1 OU Medical Center,,30,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0
ORUO-TX1 Oregon Health and Science University,,92,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,2,0,47,0,0
ORVA-TX1 VA Portland Health Care System,,18,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,7,0,0
PAAE-TX1 Albert Einstein Medical Center,,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,4,1,0,0,0,0,2,4,0,8,0,0,1,1,6,0,2,1,1,0,0,31,5,0,2,2,0,0,0,0,0,3,0,0,0
PAAG-TX1 Allegheny General Hospital,,63,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,3,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3,1,1,0,0,1,41,0,0,2,0,0,0,0,0,0,0,0,0
PACH-TX1 UPMC Children's Hospital of Pittsburgh,,29,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,5,0,2,1,0,0,0,0,0,0,0,0,1
PACP-TX1 Children's Hospital of Philadelphia,,13,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0
PAGM-TX1 Geisinger Medical Center,,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,1,0,0,0,0,0,0,0,1,0,0,2,6,3,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,2,0,0,0
PALV-TX1 Lehigh Valley Hospital,,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,0,0,0,0,0,0,0,2,0,0,3,0,5,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
PAPT-TX1 University of Pittsburgh Medical Center,,140,82,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,2,0,0,2,1,0,2,0,0,0,0,0,1,0,0,0,0,0,3,7,2,4,0,0,5,19,0,2,1,0,0,0,0,0,0,1,0,0
PATJ-TX1 Thomas Jefferson University Hospital,,81,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7,2,2,0,0,0,0,2,0,0,7,0,0,2,0,8,1,1,2,0,0,0,24,5,1,2,1,0,0,0,0,0,4,1,0,0
PATU-TX1 Temple University Hospital,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
PAUP-TX1 Hospital of the University of Pennsylvania,,172,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,9,17,2,0,0,0,0,3,2,0,19,0,0,1,1,16,1,0,1,2,0,0,62,3,0,3,0,0,0,0,0,0,4,0,0,0
PAVA-TX1 VA Pittsburgh Healthcare System,,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0,0,1
PRSJ-TX1 Auxilio Mutuo Hospital,,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0
SCCH-TX1 MUSC Children's Hospital,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCMU-TX1 Medical University of South Carolina,,177,0,1,0,0,0,0,0,0,0,2,6,6,4,31,0,0,0,0,3,0,0,4,0,0,0,0,0,7,24,0,0,0,0,0,0,0,0,0,0,3,0,0,2,4,1,74,2,0,0,0,1,0,2,0,0,0
SCPG-TX1 Prisma Health Greenville Memorial Hospital,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,0,0,0,0,1,0,0,0
TNLB-TX1 Le Bonheur Children's Medical Center,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
TNMH-TX1 Methodist University Hospital,,46,0,4,9,0,0,0,0,0,0,0,0,2,0,1,0,0,2,2,1,1,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,9,1,0,1,0,0,0,0,0
TNVU-TX1 Vanderbilt University Medical Center,,201,1,8,4,0,0,0,0,0,1,1,0,6,0,9,0,1,8,11,17,2,0,0,1,0,7,4,3,1,4,0,0,0,0,0,0,0,0,0,2,2,2,1,1,4,0,1,89,3,0,0,1,0,2,0,2,2
TXAS-TX1 Baylor  Scott and White All Saints Medical Center-Fort Worth,,55,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,13,5,14,0,0,0,0,0
"TXBC-TX1 University Hospital, University of Texas Health Science Center",,182,74,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,45,32,0,0,0,0,0
TXCM-TX1 Children's Medical Center of Dallas,,20,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2,4,4,0,0,0,0,0
TXHD-TX1 Medical City Dallas Hospital,,46,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,1,22,0,0,0,0,0
"TXHH-TX1 Memorial Hermann Hospital, University of Texas at Houston",,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TXHI-TX1 CHI St. Luke's Health Baylor College of Medicine Medical Center,,120,0,7,3,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0,0,12,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,42,15,16,0,0,1,0,0
TXHS-TX1 Methodist Specialty and Transplant Hospital,,65,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,30,16,0,0,0,0,0
TXMC-TX1 Methodist Dallas Medical Center,,69,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,1,10,5,33,0,0,0,0,0
TXMH-TX1 Houston Methodist Hospital,,338,15,14,15,1,1,0,1,0,1,0,0,7,0,0,0,0,1,1,1,32,2,0,0,3,3,11,6,0,0,0,2,4,0,1,0,0,0,0,0,0,14,0,2,3,5,1,3,4,94,35,52,0,0,3,0,0
TXSP-TX1 UT Southwestern Medical Center/William P. Clements Jr. University Hospital,,121,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,38,6,44,0,0,0,0,0
TXTC-TX1 Texas Children's Hospital,,51,0,2,2,0,2,0,1,0,0,0,0,3,1,0,0,0,0,0,1,3,0,0,0,0,1,1,1,1,1,0,1,0,2,0,1,0,0,1,0,0,4,0,0,1,0,0,1,1,8,3,6,1,0,1,0,0
TXTX-TX1 Baylor University Medical Center,,120,12,0,3,8,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,5,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,1,24,6,45,0,0,0,0,0
TXUC-TX1 University Children's Health,,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TXVA-TX1 Michael E. DeBakey VA Medical Center,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,0,0,0,0
UTLD-TX1 Intermountain Medical Center,,227,3,0,0,16,11,10,9,1,12,0,0,0,0,0,6,0,1,0,0,0,0,0,0,1,0,1,7,0,0,0,0,4,30,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,87,0,16,0,0
UTMC-TX1 University of Utah Medical Center,,47,0,0,0,5,2,1,1,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,19,0,2,0,0
UTPC-TX1 Primary Children's Hospital,,21,10,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0
"VAMC-TX1 VCU Health System Authority, VCUMC",,197,26,3,0,0,0,0,0,0,0,0,0,1,0,12,0,0,1,8,7,0,6,12,1,0,0,0,1,4,21,0,10,0,0,4,1,7,0,2,2,1,0,0,10,9,0,7,10,1,1,0,0,0,29,0,0,0
VAUV-TX1 University of Virginia Health Sciences Center,,99,8,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,3,3,5,0,4,5,1,1,0,0,0,5,8,0,3,0,0,0,1,3,0,0,1,2,0,0,4,8,1,2,2,0,0,0,0,0,22,0,0,0
WACH-TX1 Seattle Children's Hospital,,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,4,0,0
WASM-TX1 Swedish Medical Center,,102,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,87,0,0
WAUW-TX1 University of Washington Medical Center,,117,8,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,79,0,0
WICH-TX1 Children's Hospital of Wisconsin,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
WISE-TX1 Froedtert Memorial Lutheran Hospital,,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,2,0,0,0,7,4,2,0,2,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,14,7
WISL-TX1 Aurora St. Luke's Medical Center,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
WIUW-TX1 University of Wisconsin Hospital and Clinics,,134,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,23,9,3,0,0,0,4,16,2,0,6,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,1,0,1,0,0,0,0,1,15,34
